date,store_id,SKU,sku_name,category,units_sold,price_per_unit_usd,revenue_usd,promotion_flag,unit_of_measure,Date,price_per_unit_usd_fluctuated,price_per_unit_usd_updated
27-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,58,1.84,106.72,0,lb,2025-03-27,1.8,1.28
28-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.84,134.32,0,lb,2025-03-28,1.75,1.82
29-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,89,1.84,163.76,0,lb,2025-03-29,1.75,1.82
30-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,37,1.84,68.08,0,lb,2025-03-30,1.75,1.82
31-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,104,1.62,168.4,1,lb,2025-03-31,1.83,1.82
04-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,95,1.84,174.8,0,lb,2025-04-01,1.83,1.71
04-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,102,1.62,165.16,1,lb,2025-04-02,1.83,1.71
04-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,56,1.84,103.04,0,lb,2025-04-03,1.7,1.71
04-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,64,1.84,117.76,0,lb,2025-04-04,1.7,1.71
04-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,102,1.62,165.16,1,lb,2025-04-05,1.7,2.0
04-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.84,134.32,0,lb,2025-04-06,1.7,2.0
04-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,80,1.84,147.2,0,lb,2025-04-07,1.41,2.0
04-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,74,1.84,136.16,0,lb,2025-04-08,1.41,2.0
04-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,67,1.84,123.28,0,lb,2025-04-09,1.41,1.36
04-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,80,1.84,147.2,0,lb,2025-04-10,1.43,1.36
13-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,59,1.84,108.56,0,lb,2025-04-13,1.43,1.36
14-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,57,1.84,104.88,0,lb,2025-04-14,1.43,1.36
15-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,58,1.84,106.72,0,lb,2025-04-15,1.8,1.66
16-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,51,1.84,93.84,0,lb,2025-04-16,1.8,1.66
17-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,43,1.84,79.12,0,lb,2025-04-17,1.8,1.66
18-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,64,1.84,117.76,0,lb,2025-04-18,1.8,1.66
19-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,85,1.84,156.4,0,lb,2025-04-19,1.78,1.17
20-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,76,1.84,139.84,0,lb,2025-04-20,1.78,1.17
21-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,79,1.84,145.36,0,lb,2025-04-21,1.78,1.17
22-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,66,1.84,121.44,0,lb,2025-04-22,1.72,1.32
23-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,62,1.84,114.08,0,lb,2025-04-23,1.72,1.32
24-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,68,1.84,125.12,0,lb,2025-04-24,1.72,1.32
25-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,58,1.84,106.72,0,lb,2025-04-25,1.72,1.66
26-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,124,1.62,200.78,1,lb,2025-04-26,1.8,1.66
27-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,99,1.62,160.3,1,lb,2025-04-27,1.8,1.66
28-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,57,1.84,104.88,0,lb,2025-04-28,1.8,1.91
29-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,66,1.84,121.44,0,lb,2025-04-29,1.42,1.91
30-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,57,1.84,104.88,0,lb,2025-04-30,1.42,1.91
05-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,87,1.84,160.08,0,lb,2025-05-01,1.42,1.91
05-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,75,1.84,138.0,0,lb,2025-05-02,1.85,2.01
05-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,46,1.84,84.64,0,lb,2025-05-03,1.85,2.01
05-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,70,1.84,128.8,0,lb,2025-05-04,1.85,2.01
05-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,65,1.84,119.6,0,lb,2025-05-05,1.85,1.13
05-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,77,1.84,141.68,0,lb,2025-05-06,1.67,1.13
05-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,72,1.84,132.48,0,lb,2025-05-07,1.67,1.13
05-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,80,1.84,147.2,0,lb,2025-05-08,1.67,1.9
05-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,62,1.84,114.08,0,lb,2025-05-09,1.85,1.9
05-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,70,1.84,128.8,0,lb,2025-05-10,1.85,1.9
13-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,65,1.84,119.6,0,lb,2025-05-13,1.85,1.24
14-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,65,1.84,119.6,0,lb,2025-05-14,1.85,1.24
15-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.84,134.32,0,lb,2025-05-15,1.41,1.24
16-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,56,1.84,103.04,0,lb,2025-05-16,1.41,1.89
17-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,114,1.62,184.59,1,lb,2025-05-17,1.41,1.89
18-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,76,1.84,139.84,0,lb,2025-05-18,1.41,1.89
19-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,47,1.84,86.48,0,lb,2025-05-19,1.52,1.89
20-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,70,1.84,128.8,0,lb,2025-05-20,1.52,2.08
21-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,62,1.84,114.08,0,lb,2025-05-21,1.52,2.08
22-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,60,1.84,110.4,0,lb,2025-05-22,1.52,2.08
23-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,61,1.84,112.24,0,lb,2025-05-23,1.51,1.41
24-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,88,1.84,161.92,0,lb,2025-05-24,1.51,1.41
25-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,68,1.84,125.12,0,lb,2025-05-25,1.51,1.41
26-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,48,1.84,88.32,0,lb,2025-05-26,1.51,1.22
27-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,57,1.84,104.88,0,lb,2025-05-27,1.42,1.22
28-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,65,1.84,119.6,0,lb,2025-05-28,1.42,1.22
29-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,56,1.84,103.04,0,lb,2025-05-29,1.42,1.22
30-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,66,1.84,121.44,0,lb,2025-05-30,1.42,1.36
31-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,84,1.84,154.56,0,lb,2025-05-31,1.75,1.36
06-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,90,1.62,145.73,1,lb,2025-06-01,1.75,1.36
06-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,43,1.84,79.12,0,lb,2025-06-02,1.75,1.36
06-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,138,1.62,223.45,1,lb,2025-06-03,1.72,1.97
06-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,95,1.62,153.82,1,lb,2025-06-04,1.72,1.97
06-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,59,1.84,108.56,0,lb,2025-06-05,1.72,1.97
06-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.84,134.32,0,lb,2025-06-06,1.72,1.59
06-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,100,1.62,161.92,1,lb,2025-06-07,1.69,1.59
06-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,65,1.84,119.6,0,lb,2025-06-08,1.69,1.59
06-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,89,1.84,163.76,0,lb,2025-06-09,1.69,1.59
06-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,38,1.84,69.92,0,lb,2025-06-10,1.69,1.38
13-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,64,1.84,117.76,0,lb,2025-06-13,1.62,1.38
14-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,123,1.84,226.32,0,lb,2025-06-14,1.62,1.38
15-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,103,1.84,189.52,0,lb,2025-06-15,1.62,1.38
16-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,50,1.84,92.0,0,lb,2025-06-16,1.4,1.21
17-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,100,1.84,184.0,0,lb,2025-06-17,1.4,1.21
18-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,50,1.84,92.0,0,lb,2025-06-18,1.4,1.21
19-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,100,1.62,161.92,1,lb,2025-06-19,1.77,1.21
20-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,70,1.84,128.8,0,lb,2025-06-20,1.77,1.83
21-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,74,1.84,136.16,0,lb,2025-06-21,1.77,1.83
22-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,100,1.84,184.0,0,lb,2025-06-22,1.77,1.83
23-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,89,1.84,163.76,0,lb,2025-06-23,1.79,1.83
24-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.62,118.2,1,lb,2025-06-24,1.79,1.21
25-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,92,1.84,169.28,0,lb,2025-06-25,1.79,1.21
26-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,82,1.84,150.88,0,lb,2025-06-26,1.79,1.21
27-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,91,1.84,167.44,0,lb,2025-06-27,1.79,1.18
28-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,90,1.84,165.6,0,lb,2025-06-28,1.79,1.18
29-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,124,1.84,228.16,0,lb,2025-06-29,1.43,1.18
30-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,77,1.84,141.68,0,lb,2025-06-30,1.43,1.18
07-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,59,1.84,108.56,0,lb,2025-07-01,1.43,1.87
07-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,54,1.84,99.36,0,lb,2025-07-02,1.51,1.87
07-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,46,1.84,84.64,0,lb,2025-07-03,1.51,1.87
07-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,56,1.84,103.04,0,lb,2025-07-04,1.51,1.87
07-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,64,1.84,117.76,0,lb,2025-07-05,1.51,2.09
07-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,90,1.62,145.73,1,lb,2025-07-06,1.68,2.09
07-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,47,1.84,86.48,0,lb,2025-07-07,1.68,2.09
07-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,54,1.84,99.36,0,lb,2025-07-08,1.68,2.09
07-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,94,1.84,172.96,0,lb,2025-07-09,1.68,1.98
07-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,66,1.84,121.44,0,lb,2025-07-10,1.8,1.98
13-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,49,1.84,90.16,0,lb,2025-07-13,1.8,1.98
14-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,85,1.84,156.4,0,lb,2025-07-14,1.8,1.56
15-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,62,1.84,114.08,0,lb,2025-07-15,1.8,1.56
16-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,64,1.84,117.76,0,lb,2025-07-16,1.67,1.56
17-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,86,1.84,158.24,0,lb,2025-07-17,1.67,1.78
18-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,66,1.84,121.44,0,lb,2025-07-18,1.67,1.78
19-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,112,1.84,206.08,0,lb,2025-07-19,1.67,1.78
20-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,90,1.84,165.6,0,lb,2025-07-20,1.56,1.78
21-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,89,1.84,163.76,0,lb,2025-07-21,1.56,1.22
22-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,67,1.84,123.28,0,lb,2025-07-22,1.56,1.22
23-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,90,1.84,165.6,0,lb,2025-07-23,1.65,1.22
24-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,55,1.84,101.2,0,lb,2025-07-24,1.65,1.8
25-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,78,1.84,143.52,0,lb,2025-07-25,1.65,1.8
26-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,82,1.84,150.88,0,lb,2025-07-26,1.72,1.8
27-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,90,1.84,165.6,0,lb,2025-07-27,1.72,1.45
28-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,82,1.84,150.88,0,lb,2025-07-28,1.72,1.45
29-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,70,1.84,128.8,0,lb,2025-07-29,1.72,1.45
30-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,83,1.84,152.72,0,lb,2025-07-30,1.76,1.45
31-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,84,1.84,154.56,0,lb,2025-07-31,1.76,1.47
08-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,80,1.84,147.2,0,lb,2025-08-01,1.76,1.47
08-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,88,1.84,161.92,0,lb,2025-08-02,1.51,1.47
08-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,77,1.84,141.68,0,lb,2025-08-03,1.51,1.9
08-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,52,1.84,95.68,0,lb,2025-08-04,1.51,1.9
08-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,52,1.84,95.68,0,lb,2025-08-05,1.51,1.9
08-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,118,1.84,217.12,0,lb,2025-08-06,1.82,1.46
08-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,50,1.84,92.0,0,lb,2025-08-07,1.82,1.46
08-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,62,1.84,114.08,0,lb,2025-08-08,1.82,1.46
08-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,69,1.84,126.96,0,lb,2025-08-09,1.43,1.46
08-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,53,1.84,97.52,0,lb,2025-08-10,1.43,1.6
13-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,42,1.84,77.28,0,lb,2025-08-13,1.43,1.6
14-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,58,1.84,106.72,0,lb,2025-08-14,1.43,1.6
15-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,36,1.84,66.24,0,lb,2025-08-15,1.8,1.94
16-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,83,1.84,152.72,0,lb,2025-08-16,1.8,1.94
17-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,114,1.84,209.76,0,lb,2025-08-17,1.8,1.94
18-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,74,1.84,136.16,0,lb,2025-08-18,1.61,1.69
19-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,59,1.84,108.56,0,lb,2025-08-19,1.61,1.69
20-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,49,1.84,90.16,0,lb,2025-08-20,1.61,1.69
21-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,76,1.84,139.84,0,lb,2025-08-21,1.63,1.69
22-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,60,1.84,110.4,0,lb,2025-08-22,1.63,1.18
23-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,79,1.84,145.36,0,lb,2025-08-23,1.63,1.18
24-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.84,134.32,0,lb,2025-08-24,1.77,1.18
25-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,61,1.84,112.24,0,lb,2025-08-25,1.77,1.89
26-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,56,1.84,103.04,0,lb,2025-08-26,1.77,1.89
27-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,71,1.84,130.64,0,lb,2025-08-27,1.54,1.89
28-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,75,1.84,138.0,0,lb,2025-08-28,1.54,1.89
29-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,61,1.84,112.24,0,lb,2025-08-29,1.54,1.68
30-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,118,1.84,217.12,0,lb,2025-08-30,1.54,1.68
31-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,99,1.84,182.16,0,lb,2025-08-31,1.64,1.68
09-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,54,1.84,99.36,0,lb,2025-09-01,1.64,1.79
09-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,81,1.84,149.04,0,lb,2025-09-02,1.64,1.79
09-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,69,1.84,126.96,0,lb,2025-09-03,1.64,1.79
09-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,79,1.84,145.36,0,lb,2025-09-04,1.47,1.79
09-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,88,1.84,161.92,0,lb,2025-09-05,1.47,1.97
09-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,74,1.84,136.16,0,lb,2025-09-06,1.47,1.97
09-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,89,1.84,163.76,0,lb,2025-09-07,1.47,1.97
09-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,82,1.84,150.88,0,lb,2025-09-08,1.6,1.97
09-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,78,1.84,143.52,0,lb,2025-09-09,1.6,1.23
09-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,80,1.84,147.2,0,lb,2025-09-10,1.6,1.23
13-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,86,1.84,158.24,0,lb,2025-09-13,1.6,1.23
14-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,93,1.84,171.12,0,lb,2025-09-14,1.66,1.23
15-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,61,1.84,112.24,0,lb,2025-09-15,1.66,1.39
16-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,66,1.84,121.44,0,lb,2025-09-16,1.66,1.39
17-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,42,1.84,77.28,0,lb,2025-09-17,1.76,1.39
18-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,58,1.84,106.72,0,lb,2025-09-18,1.76,1.84
19-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,46,1.62,74.48,1,lb,2025-09-19,1.76,1.84
20-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,66,1.84,121.44,0,lb,2025-09-20,1.76,1.84
21-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,93,1.62,150.59,1,lb,2025-09-21,1.6,1.67
22-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,69,1.84,126.96,0,lb,2025-09-22,1.6,1.67
23-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,54,1.84,99.36,0,lb,2025-09-23,1.6,1.67
24-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,62,1.84,114.08,0,lb,2025-09-24,1.6,1.67
25-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,67,1.84,123.28,0,lb,2025-09-25,1.42,1.71
26-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,62,1.84,114.08,0,lb,2025-09-26,1.42,1.71
27-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,95,1.62,153.82,1,lb,2025-09-27,1.42,1.71
28-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,100,1.84,184.0,0,lb,2025-09-28,1.78,1.71
29-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,72,1.84,132.48,0,lb,2025-09-29,1.78,1.55
30-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,61,1.84,112.24,0,lb,2025-09-30,1.78,1.55
10-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,64,1.84,117.76,0,lb,2025-10-01,1.78,1.55
10-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,61,1.84,112.24,0,lb,2025-10-02,1.6,1.55
10-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,42,1.84,77.28,0,lb,2025-10-03,1.6,1.89
10-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,57,1.84,104.88,0,lb,2025-10-04,1.6,1.89
10-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,106,1.84,195.04,0,lb,2025-10-05,1.42,1.89
10-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,61,1.84,112.24,0,lb,2025-10-06,1.42,1.88
10-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,70,1.84,128.8,0,lb,2025-10-07,1.42,1.88
10-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,107,1.84,196.88,0,lb,2025-10-08,1.42,1.88
10-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.84,134.32,0,lb,2025-10-09,1.41,1.88
10-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,50,1.84,92.0,0,lb,2025-10-10,1.41,1.67
13-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,58,1.84,106.72,0,lb,2025-10-13,1.41,1.67
11-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,75,1.84,138.0,0,lb,2025-11-01,1.41,1.67
11-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,48,1.84,88.32,0,lb,2025-11-02,1.7,1.54
11-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,81,1.84,149.04,0,lb,2025-11-03,1.7,1.54
11-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,56,1.84,103.04,0,lb,2025-11-04,1.7,1.54
11-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,64,1.84,117.76,0,lb,2025-11-05,1.74,1.54
11-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,78,1.84,143.52,0,lb,2025-11-06,1.74,1.2
11-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,41,1.84,75.44,0,lb,2025-11-07,1.74,1.2
11-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,68,1.84,125.12,0,lb,2025-11-08,1.42,1.2
11-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,60,1.84,110.4,0,lb,2025-11-09,1.42,1.2
11-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.84,134.32,0,lb,2025-11-10,1.42,1.4
12-01-2025,Giant_Store_001,1003,Grapes_Red,Fruit,60,1.84,110.4,0,lb,2025-12-01,1.73,1.4
12-02-2025,Giant_Store_001,1003,Grapes_Red,Fruit,73,1.84,134.32,0,lb,2025-12-02,1.73,1.4
12-03-2025,Giant_Store_001,1003,Grapes_Red,Fruit,53,1.84,97.52,0,lb,2025-12-03,1.73,1.4
12-04-2025,Giant_Store_001,1003,Grapes_Red,Fruit,89,1.84,163.76,0,lb,2025-12-04,1.4,1.46
12-05-2025,Giant_Store_001,1003,Grapes_Red,Fruit,62,1.84,114.08,0,lb,2025-12-05,1.4,1.46
12-06-2025,Giant_Store_001,1003,Grapes_Red,Fruit,95,1.84,174.8,0,lb,2025-12-06,1.4,1.46
12-07-2025,Giant_Store_001,1003,Grapes_Red,Fruit,95,1.84,174.8,0,lb,2025-12-07,1.4,1.46
12-08-2025,Giant_Store_001,1003,Grapes_Red,Fruit,82,1.84,150.88,0,lb,2025-12-08,1.75,1.8
12-09-2025,Giant_Store_001,1003,Grapes_Red,Fruit,66,1.84,121.44,0,lb,2025-12-09,1.75,1.8
12-10-2025,Giant_Store_001,1003,Grapes_Red,Fruit,99,1.84,182.16,0,lb,2025-12-10,1.75,1.8
01-11-2024,Giant_Store_001,1004,Strawberries,Fruit,63,2.44,153.72,0,pint,2024-01-11,2.78,2.74
01-12-2024,Giant_Store_001,1004,Strawberries,Fruit,128,2.44,312.32,0,pint,2024-01-12,2.78,2.74
02-11-2024,Giant_Store_001,1004,Strawberries,Fruit,109,2.44,265.96,0,pint,2024-02-11,2.78,2.74
02-12-2024,Giant_Store_001,1004,Strawberries,Fruit,92,2.44,224.48,0,pint,2024-02-12,2.78,2.74
03-11-2024,Giant_Store_001,1004,Strawberries,Fruit,124,2.44,302.56,0,pint,2024-03-11,2.53,2.9
03-12-2024,Giant_Store_001,1004,Strawberries,Fruit,95,2.44,231.8,0,pint,2024-03-12,2.53,2.9
04-11-2024,Giant_Store_001,1004,Strawberries,Fruit,110,2.44,268.4,0,pint,2024-04-11,2.53,2.9
04-12-2024,Giant_Store_001,1004,Strawberries,Fruit,138,2.15,296.31,1,pint,2024-04-12,2.53,2.9
05-11-2024,Giant_Store_001,1004,Strawberries,Fruit,69,2.44,168.36,0,pint,2024-05-11,2.22,2.84
05-12-2024,Giant_Store_001,1004,Strawberries,Fruit,118,2.44,287.92,0,pint,2024-05-12,2.22,2.84
06-11-2024,Giant_Store_001,1004,Strawberries,Fruit,86,2.44,209.84,0,pint,2024-06-11,2.22,2.84
06-12-2024,Giant_Store_001,1004,Strawberries,Fruit,97,2.44,236.68,0,pint,2024-06-12,2.75,2.84
07-11-2024,Giant_Store_001,1004,Strawberries,Fruit,123,2.44,300.12,0,pint,2024-07-11,2.75,2.25
07-12-2024,Giant_Store_001,1004,Strawberries,Fruit,87,2.44,212.28,0,pint,2024-07-12,2.75,2.25
08-11-2024,Giant_Store_001,1004,Strawberries,Fruit,80,2.44,195.2,0,pint,2024-08-11,2.1,2.25
08-12-2024,Giant_Store_001,1004,Strawberries,Fruit,161,2.44,392.84,0,pint,2024-08-12,2.1,2.07
09-11-2024,Giant_Store_001,1004,Strawberries,Fruit,127,2.44,309.88,0,pint,2024-09-11,2.1,2.07
09-12-2024,Giant_Store_001,1004,Strawberries,Fruit,120,2.15,257.66,1,pint,2024-09-12,2.1,2.07
